State,sorghum,soybean,hay,flaxseed,canola,safflower,barley,peanut,proso_millet,other_spring_wheat,dry_edible_pea,winter_wheat,sugarbeet,lentil,rice,chickpeas,rye,cotton,sugarcane,oat,tobacco,corn_planted,sunflower,wheat,dry_edible_bean,potato,durum_wheat
New Hampshire,0.0,0.0,41.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
New Jersey,0.0,100.0,97.0,0.0,0,0,0.0,0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,74.0,0.0,34.0,0.0,0.0,0.0
New Mexico,0.0,0.0,265.0,0.0,0,0,0.0,0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0,49.0,0.0,0.0,0.0,125.0,0.0,405.0,0.0,0.0,0.0
New York,0.0,350.0,1120.0,0.0,0,0,9.0,0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0,0.0,0.0,61.0,0.0,1040.0,0.0,150.0,0.0,0.0,0.0
North Carolina,0.0,1640.0,657.0,0.0,0,0,16.0,0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0,380.0,0.0,37.0,113.12,950.0,0.0,480.0,0.0,0.0,0.0
North Dakota,0.0,6200.0,2790.0,110.0,0,0,690.0,0,0.0,5550.0,270.0,155.0,229.0,93.0,0.0,22.0,0,0.0,0.0,280.0,0.0,4050.0,575.0,6610.0,530.0,76.0,905.0
Ohio,0.0,4750.0,810.0,0.0,0,0,0.0,0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,0,0.0,0.0,40.0,0.0,3600.0,0.0,650.0,0.0,0.0,0.0
Oklahoma,410.0,460.0,4075.0,0.0,0,0,0.0,0,0.0,0.0,0.0,4550.0,0.0,0.0,0.0,0.0,0,420.0,0.0,140.0,0.0,390.0,0.0,4550.0,0.0,0.0,0.0
Oregon,0.0,0.0,900.0,0.0,0,0,41.0,0,0.0,0.0,0.0,740.0,10.8,0.0,0.0,0.0,0,0.0,0.0,20.0,0.0,95.0,0.0,740.0,0.0,45.0,0.0
Pennsylvania,0.0,570.0,1200.0,0.0,0,0,47.0,0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0,0.0,0.0,70.0,3.14,1040.0,0.0,280.0,0.0,0.0,0.0
Rhode Island,0.0,0.0,6.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
South Carolina,0.0,395.0,260.0,0.0,0,0,0.0,0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0,210.0,0.0,0.0,5.9,365.0,0.0,110.0,0.0,0.0,0.0
South Dakota,335.0,5100.0,2955.0,0.0,0,0,38.0,0,74.0,740.0,14.0,920.0,0.0,0.0,0.0,0.0,0,0.0,0.0,265.0,0.0,6300.0,495.0,1660.0,0.0,0.0,0.0
Tennessee,0.0,1600.0,1716.0,0.0,0,0,0.0,0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0,265.0,0.0,0.0,9.3,940.0,0.0,470.0,0.0,0.0,0.0
Texas,2000.0,125.0,4685.0,0.0,0,0,0.0,0,0.0,0.0,0.0,6400.0,0.0,0.0,149.0,0.0,0,5579.0,16.5,390.0,0.0,2500.0,50.5,6400.0,0.0,16.0,0.0
Utah,0.0,0.0,660.0,0.0,0,0,16.0,0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,75.0,0.0,105.0,0.0,0.0,0.0
Vermont,0.0,0.0,165.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0
Virginia,0.0,580.0,1155.0,0.0,0,0,30.0,0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0,81.0,0.0,0.0,13.07,495.0,0.0,200.0,0.0,0.0,0.0
Washington,0.0,0.0,840.0,0.0,0,0,95.0,0,0.0,500.0,62.0,1800.0,2.0,45.0,0.0,100.0,0,0.0,0.0,0.0,0.0,160.0,0.0,2300.0,32.0,160.0,0.0
West Virginia,0.0,0.0,610.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0
Wisconsin,0.0,2110.0,1030.0,0.0,0,0,12.0,0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0,0.0,0.0,135.0,0.0,4000.0,0.0,280.0,0.0,68.0,0.0
Wyoming,0.0,0.0,1090.0,0.0,0,0,83.0,0,0.0,0.0,0.0,115.0,29.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,85.0,0.0,115.0,14.0,0.0,0.0
