State,2023 Planted,2024 Planted,2023 Harvested,2024 Harvested
California,4.4,NA,4.4,NA
Idaho,72.0,90.0,69.2,89.0
Montana,174.0,234.0,164.5,220.0
North Dakota,22.0,54.0,21.7,53.5
Washington,100.0,124.0,99.4,123.4
United States,372.4,502.0,359.2,485.9
