State,2023 Planted,2024 Planted,2023 Harvested,2024 Harvested
California,28.5,19.5,28.0,19.0
Colorado,34.0,30.0,29.0,26.0
Kansas,34.0,26.0,31.0,25.0
Minnesota,58.5,50.0,57.0,48.6
Nebraska,39.5,35.0,37.5,33.0
North Dakota,575.0,405.0,562.0,392.0
South Dakota,495.0,315.0,478.0,303.0
Texas,50.5,18.0,45.0,16.0
United States,1315.0,898.5,1267.5,862.6
