State,2023 planted,2024 planted,2023 harvested,2024 harvested
California,22.0,25.0,21.5,24.5
Colorado,(NA),10.0,(NA),9.0
Idaho,26.0,30.0,25.5,29.0
Montana,47.0,38.0,46.0,33.0
South Dakota,17.0,12.0,16.5,10.5
Utah,17.5,12.0,16.5,11.0
United States,129.5,127.0,126.0,117.0
