State,2023 planted for all purposes,2024 planted for all purposes,2023 area harvested for grain,2024 area harvested for grain
Arizona,38,60,37,59
California,18,25,17,23
Idaho,10,(NA),10,(NA)
Montana,705,880,675,850
North Dakota,905,1200,865,1160
United States,1676,2165,1604,2092
