State,2023 Planted,2024 Planted,2023 Harvested,2024 Harvested
Idaho,19.0,18.0,18.0,17.0
Montana,580.0,620.0,570.0,590.0
Nebraska,21.0,27.0,19.0,24.0
North Dakota,270.0,310.0,261.0,300.0
South Dakota,14.0,NA,12.0,NA
Washington,62.0,58.0,61.0,57.0
United States,966.0,1033.0,941.0,988.0
