State,2023 Planted,2024 Planted,2023 Harvested,2024 Harvested
Arkansas,1436,1421,1417,1401
California,515,508,512,505
Louisiana,468,480,462,472
Mississippi,121,161,120,159
Missouri,205,224,200,219
Texas,149,149,143,144
United States,2894,2943,2854,2900
