State,2023 planted,2024 planted,2023 harvested,2024 harvested
California,16.0,(NA),15.6,(NA)
Colorado,33.0,33.0,29.7,30.5
Idaho,35.0,36.0,34.7,35.0
Michigan,210.0,240.0,208.0,237.0
Minnesota,210.0,250.0,207.0,243.0
Nebraska,100.0,105.0,92.0,98.0
North Dakota,530.0,650.0,525.0,630.0
Washington,32.0,45.0,31.6,44.5
Wyoming,14.0,(NA),13.3,(NA)
United States,1180.0,1359.0,1156.9,1318.0
