State,2023 Planted,2024 planted,2023 harvested,2024 harvested
Idaho,(NA),95.0,(NA),93.0
Kansas,1.5,8.5,0.7,7.0
Minnesota,80.0,93.0,79.0,90.0
Montana,165.0,200.0,160.0,190.0
North Dakota,1930.0,2050.0,1915.0,2030.0
Oklahoma,3.0,21.0,1.5,14.0
Washington,165.0,195.0,163.0,192.0
United States,2344.5,2662.5,2319.2,2616.0
